Time	(21) S1i	(22) S2i	(23) S3i	(24) S4i	
0.0782	-0.05090323	-0.06150445	-0.06909677	-0.05849554	
0.0784	-0.05089139	-0.06150756	-0.06910861	-0.05849244	
0.0786	-0.05087965	-0.06151064	-0.06912035	-0.05848935	
0.0788	-0.05086798	-0.06151374	-0.06913202	-0.05848626	
0.079	-0.0508564	-0.06151682	-0.06914359	-0.05848318	
0.0792	-0.05084494	-0.06151989	-0.06915507	-0.05848011	
0.0794	-0.05083354	-0.06152296	-0.06916646	-0.05847704	
0.0796	-0.05082223	-0.06152602	-0.06917777	-0.05847398	
0.07979999	-0.05081103	-0.06152907	-0.06918897	-0.05847093	
0.08	-0.0507999	-0.06153212	-0.0692001	-0.05846788	
0.0802	-0.05078886	-0.06153516	-0.06921113	-0.05846484	
0.0804	-0.05077793	-0.0615382	-0.06922207	-0.0584618	
0.0806	-0.05076707	-0.06154123	-0.06923293	-0.05845877	
0.0808	-0.05075629	-0.06154425	-0.06924371	-0.05845575	
0.081	-0.05074563	-0.06154726	-0.06925438	-0.05845274	
0.0812	-0.05073503	-0.06155027	-0.06926497	-0.05844973	
0.0814	-0.05072452	-0.06155328	-0.06927548	-0.05844672	
0.0816	-0.05071412	-0.06155627	-0.06928588	-0.05844373	
0.0818	-0.05070378	-0.06155927	-0.06929622	-0.05844073	
0.08199999	-0.05069354	-0.06156226	-0.06930646	-0.05843775	
0.0822	-0.05068339	-0.06156523	-0.06931661	-0.05843477	
