Time	(10) Hip Flx Ib	(11) Knee Ext Ib	(12) Knee Flx Ib	(13) Ankle Ext Ib	(14) Ankle Flx Ib	(9) Hip Ext Ib	
4.1514	-0.05317225	-0.04612803	-0.04	-0.04613827	-0.04	-0.05976911	
4.1516	-0.05317961	-0.04612094	-0.04	-0.04613116	-0.04	-0.05976921	
4.1518	-0.05318669	-0.04611412	-0.04	-0.04612434	-0.04	-0.05976931	
4.152	-0.05319433	-0.04610677	-0.04	-0.04611697	-0.04	-0.05976941	
4.1522	-0.05320167	-0.0460997	-0.04	-0.04610988	-0.04	-0.05976951	
4.1524	-0.05320872	-0.04609291	-0.04	-0.04610308	-0.04	-0.05976962	
4.1526	-0.05321634	-0.04608557	-0.04	-0.04609573	-0.04	-0.05976972	
4.1528	-0.05322365	-0.04607853	-0.04	-0.04608868	-0.04	-0.05976982	
4.153	-0.05323068	-0.04607176	-0.04	-0.04608189	-0.04	-0.05976992	
4.1532	-0.05323828	-0.04606445	-0.04	-0.04607457	-0.04	-0.05977003	
4.1534	-0.05324557	-0.04605742	-0.04	-0.04606754	-0.04	-0.05977013	
4.1536	-0.05325257	-0.04605068	-0.04	-0.04606078	-0.04	-0.05977023	
4.1538	-0.05326014	-0.04604339	-0.04	-0.04605348	-0.04	-0.05977033	
4.154	-0.05326741	-0.04603639	-0.04	-0.04604647	-0.04	-0.05977044	
4.1542	-0.05327439	-0.04602966	-0.04	-0.04603973	-0.04	-0.05977053	
4.1544	-0.05328193	-0.0460224	-0.04	-0.04603245	-0.04	-0.05977064	
4.1546	-0.05328918	-0.04601543	-0.04	-0.04602547	-0.04	-0.05977074	
4.1548	-0.05329613	-0.04600872	-0.04	-0.04601875	-0.04	-0.05977084	
4.155	-0.05330365	-0.04600149	-0.04	-0.0460115	-0.04	-0.05977094	
4.1552	-0.05331087	-0.04599454	-0.04	-0.04600454	-0.04	-0.05977104	
4.1554	-0.05331781	-0.04598786	-0.04	-0.04599784	-0.04	-0.05977114	
4.1556	-0.0533253	-0.04598064	-0.04	-0.04599062	-0.04	-0.05977124	
4.1558	-0.05333249	-0.04597371	-0.04	-0.04598368	-0.04	-0.05977134	
