Time	(5) Hip Bistable 1	(6) Knee Bistable 1	(7) Hip Bistable 2	(8) Knee Bistable 2	
9.045199	-0.04000002	-0.06005124	-0.06001001	-0.03999801	
9.0454	-0.04000002	-0.06005115	-0.06001001	-0.03999802	
9.0456	-0.04000002	-0.06005105	-0.06001001	-0.03999803	
9.0458	-0.04000002	-0.06005096	-0.06001001	-0.03999804	
9.046	-0.04000002	-0.06005086	-0.06001001	-0.03999805	
9.0462	-0.04000002	-0.06005077	-0.06001001	-0.03999805	
9.0464	-0.04000002	-0.06005067	-0.06001001	-0.03999806	
9.046599	-0.04000002	-0.06005058	-0.06001001	-0.03999807	
9.0468	-0.04000002	-0.06005049	-0.06001001	-0.03999808	
9.047	-0.04000002	-0.06005039	-0.06001001	-0.03999808	
9.0472	-0.04000002	-0.0600503	-0.06001001	-0.03999809	
9.0474	-0.04000002	-0.0600502	-0.06001001	-0.0399981	
9.0476	-0.04000002	-0.06005011	-0.06001001	-0.03999811	
9.0478	-0.04000002	-0.06005002	-0.06001001	-0.03999812	
9.047999	-0.04000002	-0.06004992	-0.06001001	-0.03999813	
9.0482	-0.04000002	-0.06004984	-0.06001001	-0.03999813	
9.0484	-0.04000002	-0.06004974	-0.06001001	-0.03999814	
9.0486	-0.04000002	-0.06004965	-0.06001001	-0.03999815	
9.0488	-0.04000002	-0.06004956	-0.06001001	-0.03999816	
9.049	-0.04000002	-0.06004947	-0.06001001	-0.03999816	
9.0492	-0.04000002	-0.06004937	-0.06001001	-0.03999817	
9.049399	-0.04000002	-0.06004928	-0.06001001	-0.03999818	
9.0496	-0.04000002	-0.06004919	-0.06001001	-0.03999818	
9.0498	-0.04000002	-0.0600491	-0.06001001	-0.03999819	
9.05	-0.04000002	-0.06004901	-0.06001001	-0.0399982	
9.0502	-0.04000002	-0.06004892	-0.06001001	-0.03999821	
9.0504	-0.04000002	-0.06004883	-0.06001001	-0.03999821	
9.0506	-0.04000002	-0.06004874	-0.06001001	-0.03999822	
9.050799	-0.04000002	-0.06004865	-0.06001001	-0.03999823	
