Time	(21) BR S1i	(22) BR S2i	(23) BR S3i	(24) BR S4i	
0.0662	-0.06062175	-0.06008781	-0.05937826	-0.05991219	
0.0664	-0.06062683	-0.06008853	-0.05937317	-0.05991147	
0.06659999	-0.06063193	-0.06008925	-0.05936807	-0.05991076	
0.0668	-0.06063708	-0.06008997	-0.05936292	-0.05991003	
0.067	-0.06064226	-0.0600907	-0.05935774	-0.0599093	
0.0672	-0.06064746	-0.06009143	-0.05935254	-0.05990857	
0.0674	-0.06065271	-0.06009217	-0.05934729	-0.05990783	
0.0676	-0.06065799	-0.06009291	-0.05934201	-0.05990709	
0.0678	-0.06066329	-0.06009366	-0.05933671	-0.05990634	
0.068	-0.06066863	-0.06009441	-0.05933137	-0.05990558	
0.0682	-0.06067401	-0.06009517	-0.05932599	-0.05990483	
0.0684	-0.06067941	-0.06009593	-0.0593206	-0.05990407	
0.0686	-0.06068485	-0.0600967	-0.05931515	-0.0599033	
0.06879999	-0.06069032	-0.06009747	-0.05930968	-0.05990253	
0.069	-0.06069582	-0.06009824	-0.05930418	-0.05990176	
0.0692	-0.06070136	-0.06009902	-0.05929864	-0.05990098	
0.0694	-0.06070694	-0.06009981	-0.05929307	-0.05990019	
0.0696	-0.06071253	-0.0601006	-0.05928747	-0.0598994	
0.0698	-0.06071817	-0.06010139	-0.05928183	-0.05989861	
0.07	-0.06072384	-0.06010219	-0.05927616	-0.05989781	
0.0702	-0.06072954	-0.06010299	-0.05927046	-0.05989701	
0.0704	-0.06073528	-0.0601038	-0.05926472	-0.0598962	
0.0706	-0.06074105	-0.06010461	-0.05925895	-0.05989539	
0.0708	-0.06074684	-0.06010543	-0.05925316	-0.05989457	
0.07099999	-0.06075268	-0.06010625	-0.05924732	-0.05989375	
0.0712	-0.06075855	-0.06010707	-0.05924145	-0.05989293	
0.0714	-0.06076444	-0.06010791	-0.05923555	-0.0598921	
0.0716	-0.06077038	-0.06010874	-0.05922962	-0.05989126	
0.0718	-0.06077635	-0.06010958	-0.05922365	-0.05989042	
0.072	-0.06078234	-0.06011042	-0.05921766	-0.05988957	
0.0722	-0.06078838	-0.06011127	-0.05921162	-0.05988872	
0.0724	-0.06079445	-0.06011213	-0.05920555	-0.05988787	
0.0726	-0.06080054	-0.06011299	-0.05919946	-0.05988701	
0.0728	-0.06080668	-0.06011385	-0.05919332	-0.05988615	
0.073	-0.06081285	-0.06011472	-0.05918715	-0.05988528	
0.07319999	-0.06081904	-0.06011559	-0.05918096	-0.05988441	
0.0734	-0.06082527	-0.06011647	-0.05917473	-0.05988353	
0.0736	-0.06083154	-0.06011735	-0.05916846	-0.05988265	
0.0738	-0.06083783	-0.06011824	-0.05916217	-0.05988177	
0.074	-0.06084416	-0.06011913	-0.05915584	-0.05988087	
0.0742	-0.06085053	-0.06012002	-0.05914947	-0.05987997	
0.0744	-0.06085692	-0.06012093	-0.05914308	-0.05987908	
0.0746	-0.06086335	-0.06012183	-0.05913664	-0.05987817	
0.0748	-0.06086982	-0.06012274	-0.05913018	-0.05987726	
0.075	-0.06087631	-0.06012365	-0.05912369	-0.05987635	
0.0752	-0.06088284	-0.06012457	-0.05911716	-0.05987543	
0.07539999	-0.06088941	-0.0601255	-0.05911059	-0.0598745	
0.0756	-0.06089599	-0.06012642	-0.05910401	-0.05987358	
0.0758	-0.06090263	-0.06012736	-0.05909738	-0.05987264	
0.076	-0.06090929	-0.0601283	-0.05909071	-0.0598717	
0.0762	-0.06091597	-0.06012924	-0.05908403	-0.05987076	
0.0764	-0.0609227	-0.06013018	-0.0590773	-0.05986981	
0.0766	-0.06092947	-0.06013114	-0.05907053	-0.05986886	
0.0768	-0.06093625	-0.06013209	-0.05906375	-0.05986791	
0.077	-0.06094308	-0.06013305	-0.05905692	-0.05986695	
0.0772	-0.06094994	-0.06013402	-0.05905006	-0.05986598	
0.0774	-0.06095682	-0.06013499	-0.05904318	-0.05986501	
0.07759999	-0.06096375	-0.06013596	-0.05903625	-0.05986404	
0.0778	-0.06097071	-0.06013694	-0.05902929	-0.05986306	
0.078	-0.06097769	-0.06013792	-0.05902231	-0.05986208	
0.0782	-0.06098471	-0.06013891	-0.05901529	-0.05986109	
0.0784	-0.06099177	-0.06013991	-0.05900823	-0.0598601	
0.0786	-0.06099884	-0.0601409	-0.05900116	-0.0598591	
0.0788	-0.06100596	-0.0601419	-0.05899404	-0.05985809	
0.079	-0.06101312	-0.06014291	-0.05898688	-0.05985709	
0.0792	-0.06102029	-0.06014392	-0.05897971	-0.05985608	
0.0794	-0.06102751	-0.06014494	-0.05897249	-0.05985506	
0.0796	-0.06103476	-0.06014596	-0.05896524	-0.05985404	
0.07979999	-0.06104203	-0.06014698	-0.05895797	-0.05985302	
0.08	-0.06104934	-0.06014801	-0.05895066	-0.05985199	
0.0802	-0.06105669	-0.06014904	-0.05894331	-0.05985096	
0.0804	-0.06106405	-0.06015008	-0.05893595	-0.05984992	
0.0806	-0.06107147	-0.06015112	-0.05892853	-0.05984887	
0.0808	-0.06107891	-0.06015217	-0.05892109	-0.05984783	
0.081	-0.06108637	-0.06015322	-0.05891363	-0.05984678	
0.0812	-0.06109387	-0.06015428	-0.05890613	-0.05984572	
0.0814	-0.06110141	-0.06015534	-0.05889859	-0.05984466	
0.0816	-0.06110897	-0.0601564	-0.05889104	-0.0598436	
0.0818	-0.06111657	-0.06015747	-0.05888343	-0.05984253	
