Time	(21) S1i	(22) S2i	(23) S3i	(24) S4i	
0.0428	-0.06001471	-0.06000213	-0.05998529	-0.05999787	
0.043	-0.06001481	-0.06000215	-0.05998519	-0.05999785	
0.0432	-0.06001492	-0.06000216	-0.05998508	-0.05999784	
0.0434	-0.06001502	-0.06000218	-0.05998498	-0.05999782	
0.0436	-0.06001513	-0.06000219	-0.05998487	-0.05999781	
0.0438	-0.06001523	-0.06000221	-0.05998477	-0.05999779	
0.044	-0.06001534	-0.06000222	-0.05998467	-0.05999778	
0.0442	-0.06001544	-0.06000224	-0.05998456	-0.05999776	
0.0444	-0.06001554	-0.06000225	-0.05998446	-0.05999775	
0.0446	-0.06001565	-0.06000227	-0.05998435	-0.05999773	
0.0448	-0.06001576	-0.06000228	-0.05998424	-0.05999772	
0.045	-0.06001586	-0.0600023	-0.05998414	-0.0599977	
0.0452	-0.06001597	-0.06000231	-0.05998403	-0.05999769	
0.0454	-0.06001607	-0.06000233	-0.05998393	-0.05999767	
0.0456	-0.06001618	-0.06000234	-0.05998382	-0.05999766	
0.0458	-0.06001629	-0.06000236	-0.05998371	-0.05999764	
0.046	-0.06001639	-0.06000237	-0.05998361	-0.05999763	
0.0462	-0.0600165	-0.06000239	-0.0599835	-0.05999761	
0.0464	-0.06001661	-0.0600024	-0.05998339	-0.0599976	
0.0466	-0.06001671	-0.06000242	-0.05998328	-0.05999758	
0.0468	-0.06001682	-0.06000243	-0.05998318	-0.05999757	
0.047	-0.06001693	-0.06000245	-0.05998307	-0.05999755	
0.0472	-0.06001704	-0.06000246	-0.05998296	-0.05999754	
0.0474	-0.06001715	-0.06000248	-0.05998285	-0.05999752	
0.0476	-0.06001725	-0.06000249	-0.05998274	-0.05999751	
0.0478	-0.06001736	-0.06000251	-0.05998264	-0.05999749	
0.048	-0.06001747	-0.06000252	-0.05998253	-0.05999748	
0.0482	-0.06001758	-0.06000254	-0.05998242	-0.05999746	
0.0484	-0.06001769	-0.06000255	-0.05998231	-0.05999745	
0.0486	-0.0600178	-0.06000257	-0.0599822	-0.05999743	
0.0488	-0.06001791	-0.06000258	-0.05998209	-0.05999741	
0.049	-0.06001802	-0.0600026	-0.05998198	-0.0599974	
0.0492	-0.06001813	-0.06000262	-0.05998188	-0.05999738	
0.0494	-0.06001824	-0.06000263	-0.05998176	-0.05999737	
0.0496	-0.06001835	-0.06000265	-0.05998166	-0.05999735	
0.0498	-0.06001845	-0.06000266	-0.05998154	-0.05999734	
0.05	-0.06001857	-0.06000268	-0.05998144	-0.05999732	
0.0502	-0.06001867	-0.06000269	-0.05998132	-0.05999731	
0.0504	-0.06001879	-0.06000271	-0.05998122	-0.05999729	
0.0506	-0.0600189	-0.06000272	-0.0599811	-0.05999728	
0.0508	-0.06001901	-0.06000274	-0.059981	-0.05999726	
0.051	-0.06001912	-0.06000276	-0.05998088	-0.05999725	
0.0512	-0.06001922	-0.06000277	-0.05998077	-0.05999723	
0.0514	-0.06001934	-0.06000279	-0.05998066	-0.05999722	
0.0516	-0.06001945	-0.0600028	-0.05998055	-0.0599972	
0.0518	-0.06001956	-0.06000281	-0.05998044	-0.05999719	
0.052	-0.06001967	-0.06000283	-0.05998033	-0.05999717	
0.0522	-0.06001978	-0.06000284	-0.05998022	-0.05999715	
0.0524	-0.06001989	-0.06000286	-0.05998011	-0.05999714	
0.0526	-0.06002	-0.06000287	-0.05998	-0.05999712	
0.0528	-0.06002011	-0.06000289	-0.05997989	-0.05999711	
0.053	-0.06002022	-0.06000291	-0.05997978	-0.05999709	
0.0532	-0.06002033	-0.06000292	-0.05997967	-0.05999708	
0.0534	-0.06002044	-0.06000294	-0.05997956	-0.05999706	
0.0536	-0.06002055	-0.06000295	-0.05997945	-0.05999705	
0.0538	-0.06002066	-0.06000297	-0.05997934	-0.05999703	
0.054	-0.06002077	-0.06000298	-0.05997923	-0.05999702	
0.0542	-0.06002088	-0.060003	-0.05997912	-0.059997	
0.0544	-0.06002099	-0.06000301	-0.05997901	-0.05999698	
0.0546	-0.0600211	-0.06000303	-0.0599789	-0.05999697	
0.0548	-0.06002121	-0.06000304	-0.05997879	-0.05999696	
0.055	-0.06002132	-0.06000306	-0.05997868	-0.05999694	
0.0552	-0.06002143	-0.06000308	-0.05997857	-0.05999693	
0.0554	-0.06002154	-0.06000309	-0.05997846	-0.05999691	
0.0556	-0.06002165	-0.06000311	-0.05997835	-0.0599969	
0.0558	-0.06002176	-0.06000312	-0.05997824	-0.05999688	
0.056	-0.06002187	-0.06000314	-0.05997813	-0.05999687	
0.0562	-0.06002198	-0.06000315	-0.05997802	-0.05999685	
0.0564	-0.06002209	-0.06000317	-0.05997791	-0.05999684	
0.0566	-0.0600222	-0.06000318	-0.0599778	-0.05999682	
0.0568	-0.06002231	-0.06000319	-0.0599777	-0.05999681	
0.057	-0.06002241	-0.06000321	-0.05997758	-0.05999679	
0.0572	-0.06002252	-0.06000322	-0.05997748	-0.05999678	
0.0574	-0.06002263	-0.06000324	-0.05997737	-0.05999676	
0.0576	-0.06002274	-0.06000325	-0.05997726	-0.05999675	
0.0578	-0.06002285	-0.06000327	-0.05997715	-0.05999673	
0.058	-0.06002295	-0.06000328	-0.05997704	-0.05999672	
0.0582	-0.06002306	-0.0600033	-0.05997694	-0.0599967	
0.0584	-0.06002317	-0.06000331	-0.05997683	-0.05999669	
0.0586	-0.06002327	-0.06000333	-0.05997672	-0.05999668	
0.0588	-0.06002338	-0.06000334	-0.05997662	-0.05999666	
0.059	-0.06002349	-0.06000336	-0.05997651	-0.05999665	
0.0592	-0.06002359	-0.06000337	-0.05997641	-0.05999663	
0.0594	-0.0600237	-0.06000338	-0.0599763	-0.05999662	
0.0596	-0.06002381	-0.0600034	-0.05997619	-0.0599966	
0.0598	-0.06002391	-0.06000341	-0.05997609	-0.05999659	
0.06	-0.06002402	-0.06000343	-0.05997599	-0.05999658	
0.0602	-0.06002412	-0.06000344	-0.05997588	-0.05999656	
0.0604	-0.06002422	-0.06000346	-0.05997578	-0.05999655	
0.0606	-0.06002433	-0.06000347	-0.05997567	-0.05999653	
0.0608	-0.06002443	-0.06000348	-0.05997557	-0.05999652	
0.061	-0.06002453	-0.0600035	-0.05997547	-0.0599965	
0.0612	-0.06002464	-0.06000351	-0.05997536	-0.05999649	
0.0614	-0.06002474	-0.06000352	-0.05997526	-0.05999648	
0.0616	-0.06002484	-0.06000354	-0.05997516	-0.05999646	
0.0618	-0.06002494	-0.06000355	-0.05997506	-0.05999645	
0.062	-0.06002504	-0.06000356	-0.05997496	-0.05999644	
0.0622	-0.06002514	-0.06000358	-0.05997486	-0.05999642	
0.0624	-0.06002524	-0.06000359	-0.05997476	-0.05999641	
0.0626	-0.06002534	-0.0600036	-0.05997466	-0.0599964	
0.0628	-0.06002544	-0.06000362	-0.05997456	-0.05999638	
0.063	-0.06002554	-0.06000363	-0.05997446	-0.05999637	
0.0632	-0.06002564	-0.06000364	-0.05997436	-0.05999636	
0.0634	-0.06002574	-0.06000366	-0.05997426	-0.05999634	
0.0636	-0.06002583	-0.06000367	-0.05997417	-0.05999633	
0.0638	-0.06002593	-0.06000368	-0.05997407	-0.05999632	
0.064	-0.06002602	-0.06000369	-0.05997397	-0.05999631	
0.0642	-0.06002612	-0.06000371	-0.05997388	-0.05999629	
0.06439999	-0.06002621	-0.06000372	-0.05997378	-0.05999628	
0.0646	-0.06002631	-0.06000373	-0.05997369	-0.05999627	
0.0648	-0.0600264	-0.06000374	-0.0599736	-0.05999625	
0.065	-0.0600265	-0.06000376	-0.0599735	-0.05999624	
0.0652	-0.06002659	-0.06000377	-0.05997341	-0.05999623	
0.0654	-0.06002668	-0.06000378	-0.05997332	-0.05999622	
0.0656	-0.06002677	-0.06000379	-0.05997323	-0.05999621	
0.0658	-0.06002686	-0.0600038	-0.05997314	-0.0599962	
0.066	-0.06002695	-0.06000382	-0.05997305	-0.05999618	
0.0662	-0.06002704	-0.06000383	-0.05997296	-0.05999617	
0.0664	-0.06002713	-0.06000384	-0.05997287	-0.05999616	
0.06659999	-0.06002722	-0.06000385	-0.05997279	-0.05999615	
0.0668	-0.0600273	-0.06000386	-0.0599727	-0.05999614	
0.067	-0.06002739	-0.06000387	-0.05997261	-0.05999613	
0.0672	-0.06002747	-0.06000388	-0.05997253	-0.05999612	
0.0674	-0.06002756	-0.0600039	-0.05997244	-0.05999611	
0.0676	-0.06002764	-0.0600039	-0.05997236	-0.05999609	
0.0678	-0.06002772	-0.06000391	-0.05997228	-0.05999608	
0.068	-0.0600278	-0.06000393	-0.05997219	-0.05999608	
0.0682	-0.06002789	-0.06000394	-0.05997211	-0.05999606	
0.0684	-0.06002797	-0.06000395	-0.05997203	-0.05999605	
0.0686	-0.06002805	-0.06000395	-0.05997195	-0.05999604	
0.06879999	-0.06002812	-0.06000397	-0.05997188	-0.05999603	
0.069	-0.0600282	-0.06000398	-0.0599718	-0.05999602	
0.0692	-0.06002828	-0.06000398	-0.05997172	-0.05999602	
0.0694	-0.06002836	-0.060004	-0.05997165	-0.05999601	
0.0696	-0.06002843	-0.060004	-0.05997157	-0.05999599	
0.0698	-0.0600285	-0.06000401	-0.0599715	-0.05999599	
0.07	-0.06002858	-0.06000402	-0.05997142	-0.05999598	
0.0702	-0.06002865	-0.06000403	-0.05997135	-0.05999597	
0.0704	-0.06002872	-0.06000404	-0.05997128	-0.05999596	
0.0706	-0.06002879	-0.06000405	-0.05997121	-0.05999595	
0.0708	-0.06002886	-0.06000406	-0.05997114	-0.05999594	
0.07099999	-0.06002893	-0.06000407	-0.05997107	-0.05999593	
0.0712	-0.060029	-0.06000407	-0.059971	-0.05999593	
0.0714	-0.06002906	-0.06000408	-0.05997094	-0.05999592	
0.0716	-0.06002913	-0.06000409	-0.05997087	-0.05999591	
0.0718	-0.06002919	-0.0600041	-0.05997081	-0.0599959	
0.072	-0.06002925	-0.0600041	-0.05997075	-0.05999589	
0.0722	-0.06002931	-0.06000411	-0.05997068	-0.05999589	
0.0724	-0.06002938	-0.06000412	-0.05997062	-0.05999588	
0.0726	-0.06002943	-0.06000413	-0.05997057	-0.05999587	
0.0728	-0.06002949	-0.06000413	-0.05997051	-0.05999587	
0.073	-0.06002955	-0.06000414	-0.05997045	-0.05999586	
0.07319999	-0.0600296	-0.06000414	-0.05997039	-0.05999585	
0.0734	-0.06002966	-0.06000415	-0.05997034	-0.05999585	
0.0736	-0.06002971	-0.06000416	-0.05997029	-0.05999584	
0.0738	-0.06002976	-0.06000416	-0.05997023	-0.05999584	
